Código UTA 2020;Código UTA 2010
180700143000054;180700143000054
180700143000009;180700143000009
180700143000109;180700143000109
180700143000099;180700143000099
180700143000031;180700143000031
180700143000043;180700143000043
180700143000013;180700143000013
180700143000091;180700143000091
180700143000088;180700143000088
180700143000047;180700143000047
181260318000043;181260318000043
180070010000005;180070010000005
220630165010000;220630165010000
661260290010000;661260290010000
820983704000015;820983704000015
620075007000005;620075007000005
620845175000013;620845175000013
580215028000000;580215028000000
580775077000000;580775077000000
141192819110000;141192819110000
860846462000000;860846462000000
861686602000058;861686602000058
220630196080000;220630196080000
260848140010000;260848140010000
821053743100000;821053743100000
220560147030000;220560147030000
221540448030000;221540448030000
140772420030000;140772420030000
141473029170000;141473029170000
180700137010000;180700137010000
180700137000018;180700137000018
180840186050000;180840186050000
181610417020000;181610417020000
300089007000025;300089007000025
300089007000027;300089007000027
300219105000027;300219105000027
300289155000020;300289155000020
300289185000007;300289185000007
300359193000004;300359193000004
300359193000012;300359193000012
300359195000015;300359195000015
300359195000014;300359195000014
300359195000018;300359195000018
300359195000013;300359195000013
300359225000016;300359225000016
300429230000005;300429230000005
300429255000020;300429255000020
300499302000004;300499302000004
300499302000003;300499302000003
300569380095000;300569380095000
300569400000124;300569400000124
300569385000117;300569385000117
300569385000083;300569385000083
300639410000000;300639410000000
300709465000A36;
300709497000025;300709497000025
300779525000020;300779525000020
300840329150000;300840329150000
300849615000001;
300849600040000;300849600040000
300889775000001;300889775000001
300889775000006;300889775000006
300989832000035;300989832000035
300989832000056;300989832000056
300989832000034;300989832000034
300989860000036;300989860000036
300989860000107;300989860000107
300989860000082;300989860000082
300989872000092;300989872000092
301059880000009;301059880000009
301059890000011;301059890000011
301059915000037;301059915000037
301059905000024;301059905000024
301139917000021;301139917000021
301139957000045;301139957000045
620635133017000;620635133017000
780219035030000;780219035030000
82021A36;
820492847000085;820492847000085
820913540000008;820913540000008
860356378100000;860356378100000
860356378000144;860356378000144
860496399030000;860496399030000
860566420000132;860566420000132
860846469000043;860846469000043
860846476000108;860846476000108
860986504000065;860986504000065
861336546000108;861336546000108
861616595000137;861616595000137
900910098050000;900910098050000
900708441080000;900708441080000
900148126000180;900148126000180
860496396000061;860496396000061
860216026000051;860216026000051
860286340000068;860286340000068
860356368000028;860356368000028
860356342010000;860356342010000
860496390000049;860496390000049
860496391000053;860496391000053
860496388010000;860496388010000
861056185000056;861056185000056
860846474000099;860846474000099
860496394100000;860496394100000
860706424020000;860706424020000
860706438090000;860706438090000
860986501000009;860986501000009
860776459000042;860776459000042
860776459040000;860776459040000
860916487000089;860916487000089
860986183060000;860986183060000
861050770000;
861056186000061;861056186000061
861196507000005;861196507000005
861196527000157;861196527000157
