Nombre;Latitud;Longitud
HUNTER;-34,2433108;-60,532499
VILLA MANUEL POMAR;-33,91595088;-60,93793802
LA TIGRA;-34,00621414;-60,98638916
ROJAS;-34,18722923;-60,71794119
ESTACION SOL DE MAYO;-34,26894485;-60,87177734
RAFAEL OBLIGADO;-34,35881325;-60,78456933
VILLA PARQUE CECIR;-34,1707176;-60,74383368
LA VERDE;-34,0764093;-60,9715417
SAN BASILIO;-34,4720436;-60,6832105
VILLA GENERAL MITRE;-29,13963572;-62,56239605
SAN ROQUE;-32,2162493;-64,6720222
CERRO PELADO;-32,2183924;-64,6415206
AMBOY;-32,17591652;-64,57654832
FLORIDA NEGRA;-48,42013168;-67,35490418
BELLA VISTA;-49,06422424;-68,32466888
EL SALADO;-48,73167419;-67,70140839
SUARDI;-30,53614535;-61,96168058
COLONIA SAN JOSE;-23,40235447;-65,39104516
ALONSO;-23,44775;-65,24884
VOLCAN DE YACORAITE;-23,326789;-65,47565899
YACORAITE;-23,40235447;-65,39104516
HUACALERA;-23,43416426;-65,35133414
LA TOMA;-33,05443762;-65,62269821
MAQUINCHAO;-41,24751656;-68,70034107
CALLE ANGOSTA;-35,83441;-58,47736003
NEWTON;-35,9302358;-58,7735013
SAN MARTIN;-35,8099286;-58,7384442
CHAS;-35,8738986;-58,5835485
GENERAL BELGRANO;-35,76945774;-58,49446151
LA VERDE;-35,7960497;-58,5902581
GORCHS;-35,67337296;-58,95829996
EL DESCANSO;-35,78064575;-58,49520841
COLONIA EL SALADO;-35,84859;-58,41628003
LAVALLE;-29,02498125;-59,18185701
PUERTO VIEJO;-29,0035214;-59,1726468
LA LOMA;-28,9843867;-59,1486856
RINCON DE SANTA LUCIA;-29,02399735;-59,1433639
RINCON DE SOTO;-29,065367;-59,2059937
ENRIQUE URIEN;-27,55872515;-60,52599075
LA VIRUELA;-27,86480153;-60,36781951
LA MANUELA;-27,87571085;-60,64802151
LA CARLOTA;-27,64495658;-60,70773077
CAMPO COLLA;-31,768503;-61,3988686
LAS HIGUERITAS;-31,8169489;-61,1663277
CORONEL RODRIGUEZ;-31,7032972;-61,2418905
SANTA CLARA DE BUENA VISTA;-31,76579633;-61,32102364
EL MOJON;-30,08849498;-63,45358366
EL GUANACO;-29,95477877;-63,33326979
LA MAZA;-30,14883423;-63,71766281
SANTA CATALINA;-29,89970017;-63,5257721
LA PIEDRA BLANCA;-29,95899237;-63,82939238
AGUA DE ORO;-29,8135599;-63,75524
POZO DE MOLINA;-29,95120621;-63,0254364
POZO DEL SIMBOL;-29,85239557;-63,08607812
EL JORDAN;-29,89233017;-63,82764816
LA BARRANCA;-29,67079301;-63,72388041
POZO DE LAS OLLAS;-30,01728917;-63,05307312
PUNTA DEL MONTE;-29,72079132;-63,58204419
LA VICTORIA;-30,1392231;-63,43808746
SAN MIGUEL;-29,78716469;-63,73150635
ALTO DE FIERRO;-29,70109921;-63,61469291
SANTA ISABEL;-29,77304268;-63,45576306
LA PENCA;-30,1320698;-63,5176265
SAN ANTONIO;-29,75729439;-63,39076668
LA VICTORIA OESTE;-30,18236581;-63,48445655
CAMPO GRANDE;-30,04917014;-63,54454713
LA VICTORIA (E);-30,13508312;-63,44294093
3 DE MAYO;-26,78501255;-54,90115103
GARUHAPE;-26,81868288;-54,95761201
SAN MIGUEL;-26,8533367;-54,88929241
PUERTO GARUHAPE;-26,79389572;-54,96649551
SALSACATE;-31,31516168;-65,09102606
VILLA VISO;-31,35705165;-65,10195072
CASA BLANCA;-31,37372505;-65,158272
TANINGA;-31,34540005;-65,08011687
PUEBLO VIEJO;-32,84722519;-62,83419037
SAN EUSEBIO;-32,2378273;-62,48749924
LAS LAGUNITAS;-32,72463603;-62,92520088
LA TIGRA;-32,03687222;-62,46890289
COLONIA LA VERDE;-32,76142685;-62,4990827
COLONIA MARCOS SASTRE;-32,53989113;-62,4171492
CAMPO LOS CORRALITOS;-32,9425718;-62,6497689
COLONIA EL DORADO;-33,8033612;-62,8044841
CAMPO LOS ALGARROBOS;-32,95159581;-62,50754552
COLONIA LA CONCORDIA;-32,6640192;-62,7458186
SAN MELITON;-33,55144882;-62,73400497
CAYUQUEO;-32,8009107;-63,1176321
CAMPO COSTA;-33,4792553;-62,9564065
COLONIA LA UNION;-32,97055816;-62,86825557
LA HERRADURA;-32,54858018;-63,11960014
SAN SEVERO;-33,53832547;-63,04792768
CAMPO SANTA RITA;-32,66210149;-62,4508944
COLONIA 10 DE MAYO;-32,52011289;-62,50792335
COLONIA EL BALQUIN;-33,594585;-62,9826062
COLONIA EL PIQUILLIN;-32,7836607;-62,8077245
COLONIA CORRAL DEL BAJO;-32,0755992;-62,800031
CAMPO LAS CHACRAS;-32,7740956;-62,72142397
CUATRO CAMINOS;-32,71482226;-62,59230077
POTRO MUERTO;-32,12021937;-62,4280296
EL UCLE;-32,10600775;-62,66222929
CORRAL DEL BAJO;-32,07373047;-62,80303574
CAMPO VIONNET;-32,47595547;-63,02852347
COLONIA PICO CHACO;-32,38023581;-62,78954648
RAMON J. CARCANO;-32,49110891;-63,10280751
COLONIA LA LOLA;-33,73089562;-62,78514867
COLONIA LA CELINA;-33,7998069;-62,9152446
COLONIA EL DESCANSO;-32,18816605;-62,72288296
CNIA NORTE;-32,5153117;-62,8032808
COLONIA ESPERANZA;-32,6391643;-62,8533637
COLONIA CORRAL DE GUARDIA;-32,03238132;-62,63168946
CAMPO SANTA ELENA;-33,13712349;-62,95998299
COLONIA LA LEONCITA;-32,11839412;-62,56281224
CAMPO SAN ELIAS;-33,23423419;-62,87657158
CAMPO LA LUISITA;-32,9980972;-62,7185441
CAMPO LOS GALGOS;-33,15262159;-62,68229109
CAMPO CRESPO-P/BALLESTERS;-32,4378502;-62,9397616
CAMPO YANZI;-32,46431231;-62,74252904
COLONIA SANTA RITA;-33,03656328;-63,019451
LUCA;-32,54019796;-63,47625364
ENRIQUE CARBO;-33,14784836;-59,20894011
ALARCON;-33,15450509;-58,98890113
GENERAL RACEDO;-31,98401645;-60,40839123
CARCEL;-23,81740761;-65,53327179
PUNTA CORRAL;-23,71728325;-65,3873291
COIRURO;-23,88771629;-65,45774078
AGUA BENDITA;-23,83205605;-65,47557831
TUMBAYA;-23,85230341;-65,46725467
TUMBAYA GRANDE;-23,83077;-65,48998
LEONES;-32,65839141;-62,29991463
EL PALMAR;-25,2898669;-60,68620893
GUEMES;-25,77302557;-60,81551973
LA ARMONIA;-25,18170007;-61,09499711
EL QUEBRACHO;-25,23779092;-61,28037249
LOTE 126;-25,67820965;-60,95518998
EL DESCANSO;-25,64091118;-61,01546461
LA GRINGA;-25,3091259;-60,98751068
LOS CIENAGOS;-25,14161515;-61,25801094
4 DE FEBRERO;-25,57410369;-60,79186937
LOS PEREYRAS;-25,47515938;-61,1766573
TORRE DEL MIRADOR;-25,56377465;-61,29401769
MONTE CASEROS;-25,59411486;-61,09431164
POZO EL ZAPALLAR;-25,27138135;-60,85359436
EL MOJO;-25,2134447;-60,64117836
CRUCE PEÑALOZA;-25,4759368;-61,09373572
LAS MARGARITAS;-25,67516433;-61,19567793
ROSALES;-25,2980938;-61,17424011
CENTRAL NORTE;-25,61122223;-60,9338287
POZO DE LA PAVA;-25,42782402;-60,93699646
LAS CUATRO BOCAS;-25,7529841;-60,87629431
EL MILAGRO;-25,49876282;-61,02292096
LOS PLACERES;-25,48153779;-61,28259711
POZO DE LA MULA;-25,28162384;-61,0569725
MANANTIALES;-25,14927797;-60,73018997
LA ESMERALDA;-25,34611612;-60,78668677
POZO DEL NEGRO;-25,21047783;-61,11962509
BALBUENA;-25,72209737;-60,9764363
MIRAFLORES;-25,6489335;-60,93004019
EL RETIRO;-25,58874165;-60,96800924
CAMPO LA CHINA;-25,47761113;-60,9775063
